V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q37,consent,mturk_id,demo_age,demo_gend,demo_citiz,demo_emplo_1,demo_emplo_2,demo_emplo_3,demo_emplo_4,demo_emplo_5,demo_income,demo_class,demo_educa_1,pol_party_1,pol_attitu_1,pol_attitu_2,ethnic_id,ethnic_id_TEXT,ethnic_id2,ethnic_id3,attn,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,SDO7_1,SDO7_2,SDO7_3,SDO7_4,SDO7_5,SDO7_6,SDO7_7,SDO7_8,SDO7_9,SDO7_10,SDO7_11,SDO7_12,SDO7_13,SDO7_14,SDO7_15,SDO7_16,LSI_1,LSI_2,LSI_3,LSI_4,LSI_5,LSI_6,LSI_7,LSI_8,LSI_9,LSI_10,LSI_11,LSI_12,Q63,j_training,j_training_TEXT,Q44,Q60_1,Q60_2,Q60_3,Q60_4,Q45,Q59_1,Q59_2,Q59_3,Q59_4,summary,headline,writing,include1,include2,include3,include4,include5,include6,pagenum,Q35,status,rep1,rep3,rep2,ambitious,competent,attn2,hardwork,hypo_3,hypo_2,hypo_1,hypo_4,hypo_11,hypo_12,hypo_5,similar,attention_1,attention_2,attention_3,debrief,data_yn,mturkcode,DO-BR-FL_57,DO-BR-FL_53,DO-BR-FL_125,DO-BR-FL_115,DO-BR-FL_124,DO-Q-SDO7,LocationLatitude,LocationLongitude,LocationAccuracy
R_3Pcy3oCKU09EzjM,Default Response Set,Anonymous,,,173.219.146.146,0,5/21/2016 10:38,5/21/2016 10:54,1,1,1,A3JYTT5ZHFKR7A,64,1,1,1,,,,,6,3,9,2,3,2,3,,5,5,5,1,2,2,4,7,2,2,6,2,4,1,1,1,1,7,7,7,7,2,2,1,2,6,6,6,7,2,3,3,2,1,3,2,1,1,3,3,2,1,1,,1,5.133,50.465,80.395,2,,,,,,"A young man from the projects found art as a way out, His work is now on display at a fine art venue and receiving praise, The professionally trained artist is a up and coming talent.",Art is his way to leave the projects behind,6,6,6,7,7,5,6,2,1,4,5,5,5,6,7,3,7,1,1,1,1,1,1,1,2,7,6,7,1,1,1,FL_58,high status,hypocat|hypoformative,,,13|2|3|4|1|10|7|5|15|14|6|8|16|12|11|9,36.07510376,-97.03119659,-1
R_1gkIL4xatxG1Pdl,Default Response Set,Anonymous,,,162.247.26.115,0,5/21/2016 10:37,5/21/2016 11:19,1,1,1,ADVZAZ12Z8N9J,36,2,1,1,,,,,3,2,8,1,2,2,1,,7,7,5,8,1,1,8,8,7,7,8,1,8,2,1,1,2,6,6,7,2,1,1,1,2,7,7,7,7,1,2,3,2,2,3,2,2,2,2,2,3,1,1,,1,0,0,33.13,0,,,,,,"The article was talking about a world renounded artist. The artist came from humble beginnings, as he lost his mother at a young age, but went on to earn degress in his field. ",The Humble Artist,7,6,7,6,5,7,7,editorial,1,5,7,1,7,7,6,3,7,3,3,3,3,3,3,3,2,7,7,7,1,1,1,FL_109,,,high status,hypoformative|hypocat,9|14|11|12|4|1|15|2|13|6|5|10|16|3|8|7,18.33329773,-64.83329773,-1
R_2tbr0jZSa2carkl,Default Response Set,Anonymous,,,97.80.200.61,0,5/21/2016 7:24,5/21/2016 7:25,0,1,1,AWY68ANFRTHWQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_109,,,high status,,,,,-1
R_2EtTtvJZaaMcBNu,Default Response Set,Anonymous,,,75.176.7.253,0,5/21/2016 10:37,5/21/2016 11:26,1,1,1,A2G8UI423QZYJJ,27,1,1,,1,,,,5,2,6,5,5,5,3,,2,1,5,2,1,2,7,8,6,7,7,1,7,2,3,3,6,2,5,6,6,1,2,2,3,5,5,5,5,2,2,1,1,1,1,2,2,2,2,2,2,1,1,,,,,,,1,107.508,300.964,310.035,6,Jordan Sullivan pleaded guilty to fine art forgery.  He will spend 10 years in federal prison after pocketing thousands.,Fine Art Forger does hard time.,6,6,4,4,5,5,5,Front page,1,1,1,7,1,2,2,3,2,2,2,2,3,2,2,3,2,7,7,7,1,1,1,FL_58,low Status,hypocat|hypoformative,,,4|5|2|16|10|3|1|14|6|13|7|12|8|15|11|9,35.33659363,-80.79579926,-1
R_3PwbQYXHSu7LDLt,Default Response Set,Anonymous,,,68.119.0.58,0,5/21/2016 7:24,5/21/2016 7:40,0,1,1,A3R55C67WKDZKO,58,2,1,1,,,,,7,3,4,5,6,3,3,,6,5,5,1,6,2,1,8,4,8,7,3,8,1,2,3,1,5,6,7,5,6,5,5,6,3,3,3,2,2,2,3,3,1,3,2,1,2,1,1,3,1,1,,,,,,,1,0,0,77.565,0,Jordan grew up in LA until his mother died when he was 6.  He went to art school but was never successful as an artist.  He forged work of  successful artists and now faces serious jail time. ,Art Forger faces jail time,3,4,5,5,5,1,4,Crime,1,2,1,6,1,4,2,3,3,2,2,2,3,2,2,2,2,7,7,7,1,1,,FL_109,,,low Status,hypocat|hypoformative,12|10|3|1|11|8|9|5|7|4|15|13|2|16|6|14,,,-1
R_26m8jmek3lsKGXr,Default Response Set,Anonymous,,,24.18.16.65,0,5/21/2016 11:40,5/21/2016 11:52,1,1,1,A42BUMQKH31YY,37,1,1,,1,,,,2,2,5,4,3,3,3,,2,2,5,7,2,2,7,6,7,1,7,2,7,1,1,2,1,7,7,7,7,1,2,1,1,7,7,7,7,2,2,2,3,1,2,3,3,1,3,2,3,1,1,,1,4.782,40.061,41.197,9,,,,,,"A young inner city man who excelled in the arts at collage, is an urban artist has recently had his  work put on display in an exhibit. ",Worker bee makes it to the hive. ,6,6,7,6,5,6,7,The arts/entertainment section,1,4,6,1,6,6,6,3,7,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_109,,,high status,hypoformative|hypocat,5|7|15|9|13|14|10|3|12|1|6|16|11|4|8|2,47.40609741,-121.9953003,-1
R_BV64vN1wQkYGooN,Default Response Set,Anonymous,,,71.210.30.74,0,5/21/2016 11:40,5/21/2016 11:53,1,1,1,AU6CE5O4K833Z,28,2,1,1,,,,,4,3,6,2,3,2,3,,5,3,5,2,1,3,6,7,7,3,7,2,7,1,1,1,1,6,5,7,3,1,1,1,1,7,7,7,7,2,3,3,3,2,1,1,1,3,2,1,2,1,1,,1,0,0,88.96,0,,,,,,"Jordan Sullivan, 27 year old LA native, has a new art show opening at the Hive gallery. He is one of the youngest artists to ever be featured there. It's titled ""Process of the Projects"", and is about urban poverty, using acrylic and graffiti style media. ","""Process of the Projects"" - Local Artist Featured in New Show",5,5,5,5,3,6,6,Art section front page?,1,6,6,2,5,5,6,3,7,3,3,3,3,1,2,3,2,6,5,5,1,1,1,FL_58,high status,hypoformative|hypocat,,,11|2|6|4|3|12|8|1|14|13|7|10|15|5|16|9,44.10139465,-122.8063049,-1
R_1JL0HiTRR9qPxAt,Default Response Set,Anonymous,,,75.98.102.131,0,5/21/2016 11:52,5/21/2016 12:00,1,1,1,A3FUW3458K3KO,28,1,1,1,,,,,3,3,5,4,4,4,3,,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,,1,2.97,8.528,37.151,2,,,,,,The works of Jordan Sullivan will be featured at an exhibit coming to the Hive Gallery in downtown L.A.  It will pen to the public Friday at 7 pm.,Jordan Sullivan Exhibit opens,4,4,4,4,4,4,4,first,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_109,,,high status,hypoformative|hypocat,10|15|7|4|2|3|14|11|6|5|9|1|8|12|13|16,37.14889526,-93.26139832,-1
R_1FxZOO0ILku6n87,Default Response Set,Anonymous,,,71.53.118.36,0,5/21/2016 11:40,5/21/2016 12:01,1,1,1,A3CXJ18H14DXBN,30,1,1,1,,,,,3,2,5,1,3,1,1,,7,7,5,8,1,1,8,2,8,1,6,3,7,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,2,3,3,3,2,3,1,2,3,1,2,3,1,1,,,,,,,1,13.303,35.251,38.769,2,It was about a young man who had a rough childhood who did pretty well in becoming a decent artist. But not being able to make it in that world or he thought he started forging paintings from famous artists and pocketing the money.,LA artist called new Beltracchi of art forgery!!,6,6,3,4,2,5,6,3,1,4,2,6,1,7,6,3,3,1,1,1,2,1,1,3,2,7,7,7,1,1,1,FL_58,low Status,hypoformative|hypocat,,,9|3|15|12|11|6|8|13|10|14|1|7|2|5|4|16,34.92730713,-78.90930176,-1
R_b8lBsKb0hCjSC77,Default Response Set,Anonymous,,,73.253.130.37,0,5/21/2016 11:41,5/21/2016 12:02,1,1,1,A3HTLXAPOBCVVO,45,2,1,1,,,,,3,2,6,4,5,1,5,,5,5,5,2,1,3,2,6,8,6,7,6,6,1,1,1,1,7,7,7,7,1,1,1,7,7,7,7,7,2,2,3,2,1,2,1,1,3,2,1,3,1,1,,,,,,,1,5.928,105.017,116.304,4,27 year old artist Justin Sullivan was arrested for art forgeries after fleecing galleries out of thousands of dollars.  He faces up to 10 years in jail.  Some speculate he turned to forgery because his own art was not well received.,"Frustrated Angeleno Artist Turns to Forgery, Faces Jail Time",4,3,3,2,2,1,1,Local police/crime page,1,2,3,5,3,5,5,3,4,5,5,5,4,4,4,4,2,7,7,7,1,1,1,FL_109,,,low Status,hypocat|hypoformative,12|5|6|10|15|14|4|11|2|1|3|8|9|13|7|16,42.25959778,-71.47029877,-1
R_2WvhcFiVbqzUVzy,Default Response Set,Anonymous,,,71.239.128.29,0,5/21/2016 11:40,5/21/2016 12:05,1,1,1,ANFGKD4NCUNTO,26,1,1,1,,,,,2,2,5,1,1,1,3,,2,2,5,7,7,3,7,3,7,6,6,3,6,1,3,1,1,6,7,5,6,1,1,1,1,6,6,6,7,2,2,2,2,2,2,1,2,1,2,2,2,1,1,,1,0,0,244.47,0,,,,,,"The article was about affordable housing projects, and a man and his  background surrounding creating, and maintaining welcoming housing units.",One man's ambition,5,5,5,5,5,5,5,15,1,5,6,6,6,7,7,3,6,3,2,2,2,2,2,2,2,7,7,7,1,1,1,FL_58,high status,hypocat|hypoformative,,,16|7|2|6|9|14|4|12|8|11|1|13|3|5|15|10,41.86610413,-88.10700226,-1
R_2co8GfoOzO0kCwA,Default Response Set,Anonymous,,,50.153.131.52,0,5/21/2016 11:47,5/21/2016 12:06,1,1,1,ACN0C9HPYDTED,24,1,1,1,,,,,4,3,6,5,5,5,3,,1,1,5,4,2,4,6,6,6,4,6,2,6,2,3,4,6,6,7,6,4,2,6,5,3,6,5,7,6,1,3,1,3,1,1,3,2,2,3,3,2,1,1,,,,,,,1,45.169,51.584,59.303,4,A guy name Jordan Sullivan was charge with fine art forgery because he forged about 60 paintings. He went to UCLA. He was decently talented.,A life in Colors,7,6,3,2,1,4,5,Page 3,1,3,1,7,1,7,7,3,7,2,4,2,2,4,2,1,2,7,7,7,1,1,1,FL_58,low Status,hypoformative|hypocat,,,9|11|15|10|8|14|3|13|2|16|12|7|4|1|6|5,42.24290466,-71.00980377,-1
R_1CIa6eFS060kwNs,Default Response Set,Anonymous,,,173.170.214.79,0,5/21/2016 8:28,5/21/2016 8:41,0,1,1,A2UCO1QAJ36RQ9,40,2,1,1,,,,,3,2,5,5,6,6,3,,6,5,5,6,6,3,7,6,6,6,6,6,6,2,2,5,5,3,5,2,5,2,5,5,5,5,5,2,5,2,2,2,2,3,3,2,2,2,2,2,2,1,1,,1,73.61,74.074,77.647,2,,,,,,A guy who started off bad situation lost his mother and eventually went on to live with his father. From there he graduated from college and started his career in the arts. ,From Ghetto to Grand,5,5,5,5,5,5,6,Art exhibits,1,6,5,2,5,6,6,3,6,4,4,4,6,6,6,6,2,6,6,6,1,1,,FL_109,,,high status,hypoformative|hypocat,13|9|12|11|16|3|2|15|1|5|7|6|10|4|14|8,,,-1
R_3P7T35Uf2SPgmRB,Default Response Set,Anonymous,,,71.90.205.15,0,5/21/2016 12:45,5/21/2016 12:55,1,1,1,A1BAEFJ2OG7NJ0,55,2,1,1,,,,,5,3,5,3,3,3,3,,4,4,5,1,1,1,1,1,8,8,7,1,6,1,1,1,1,6,6,1,6,1,1,1,5,6,6,6,6,2,3,2,1,1,2,2,1,3,1,1,3,1,1,,,,,,,1,0,0,66.408,0,Artist couldn't make it by creating his own art.  He decided the best way to make a living was to forge the paintings of other artists.,Failed Artist Forges 60 Paintings,6,7,3,5,7,6,6,2,1,1,1,7,1,1,1,3,1,4,4,4,4,4,4,4,2,6,6,6,1,1,1,FL_109,,,low Status,hypoformative|hypocat,8|16|3|9|13|2|6|7|4|5|15|10|11|14|1|12,34.05599976,-84.37950134,-1
R_1ithm35t3gL3KyT,Default Response Set,Anonymous,,,107.201.50.76,0,5/21/2016 12:45,5/21/2016 12:55,1,1,1,A3E2LAZX33XQ82,39,2,1,,,,,1,3,2,6,3,3,3,7,White/Japanese,1,1,5,8,1,3,8,2,8,1,8,1,7,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,1,3,3,1,3,2,1,1,2,1,1,3,1,1,,,,,,,1,0,0,38.33,0,"Failed artist copies others art, and fools gallery owners out of thousands of dollars. Is arrested.",Failed Artist Fools Experts,3,4,5,5,5,5,3,5,1,1,1,7,1,7,7,3,4,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_109,,,low Status,hypocat|hypoformative,5|11|16|3|10|13|2|15|12|4|1|7|14|6|9|8,37.21899414,-93.31759644,-1
R_3JyOjx5CxCECxbZ,Default Response Set,Anonymous,,,98.162.220.11,0,5/21/2016 12:45,5/21/2016 12:57,1,1,1,A1FH38GMPABTQK,24,1,1,,,1,,,1,1,5,4,4,4,4,,7,7,5,8,1,2,7,3,7,1,6,6,8,2,4,4,2,7,4,5,5,2,6,1,3,5,6,6,4,2,3,2,2,2,2,2,3,1,3,3,2,1,1,,,,,,,1,0,0,63.403,0,Sullivan was a college student who made fake paintings and sold them for money.,LA Man Creates Counterfeit Paintings and His Criminal Record,6,6,5,5,3,4,5,3,1,2,3,5,3,6,6,3,7,3,3,3,2,1,1,1,2,7,7,7,1,1,1,FL_58,low Status,hypocat|hypoformative,,,15|5|1|11|13|10|14|9|12|7|8|4|6|16|2|3,35.25230408,-97.46029663,-1
R_3kFFwlw0AgaZciE,Default Response Set,Anonymous,,,173.191.13.228,0,5/21/2016 12:45,5/21/2016 13:02,1,1,1,AKG7VBOY97HKA,68,2,1,,,,,1,3,2,4,6,6,7,3,,7,6,5,2,1,6,2,6,7,8,6,6,4,2,2,4,2,5,4,5,4,7,5,5,3,3,4,4,4,2,1,2,1,1,3,2,1,3,1,2,2,1,1,,1,34.271,37.519,122.884,3,,,,,,The work of Jordan Sullivan will be featured in an exhibit at the Hive Gallery in Los Angeles. He grew up in a project until he was 6 and his mother died and he went to live with his father. He is the one of the youngest artist to have work exhibited at the Hive Gallery.,The work of Jordan Sullivan. ,7,7,6,7,7,6,7,2,1,6,7,1,6,7,7,3,7,3,2,2,3,3,4,3,2,7,7,7,1,1,1,FL_109,,,high status,hypocat|hypoformative,13|6|2|8|15|10|1|14|12|5|4|9|3|11|7|16,37.36459351,-85.37580109,-1
R_3szS70mx3Tcbzbs,Default Response Set,Anonymous,,,67.177.18.73,0,5/21/2016 12:53,5/21/2016 13:04,1,1,1,A3RHGIM99R25Q9,28,1,1,1,,1,,,2,1,5,4,5,3,3,,1,1,5,6,2,2,6,4,6,3,7,2,7,1,1,1,1,7,7,1,6,1,1,1,1,7,6,6,6,3,3,3,2,2,3,2,1,3,1,1,3,1,1,,1,0,0,79.999,0,,,,,,"Mr. Jackson is opening an art gallery at the Hive Galleria in Los Angeles that features works already received critical acclaim. He is the youngest artist, at 27 years of age, to be featured at the gallery.",Young Artist Gets Work Featured At The Hive Gallery ,4,6,5,3,1,2,6,Entertainment section or local news section,1,6,4,1,6,7,7,3,7,1,1,1,1,1,1,1,2,7,7,7,1,1,1,FL_58,high status,hypoformative|hypocat,,,2|11|12|1|13|7|16|8|10|9|15|14|5|3|6|4,40.75979614,-111.8626022,-1
R_20NYdi5vdzvML0q,Default Response Set,Anonymous,,,73.42.120.84,0,5/21/2016 12:45,5/21/2016 13:39,1,1,1,A11DOG3Y9H8N68,55,1,1,1,,,,,4,3,6,2,2,2,3,,5,5,5,7,2,2,7,2,7,1,7,2,7,1,1,1,1,7,7,7,6,2,3,2,2,7,6,6,6,2,2,3,1,3,3,2,1,2,2,2,3,1,1,,,,,,,1,12.094,99.712,103.433,4,"Jordan Sullivan was an artist who never found an audience. He lived in a government project until age six when his mother died. After graduating from UCLA, he tried to sell his mixed media compositions focused on urban poverty, but they weren't well-received. So, he turned to forgery. This eventually got him arrested and imprisoned. ",Unappreciated artist turns to forgery,5,4,6,6,6,4,6,crime page,1,3,3,5,4,5,5,3,5,4,4,4,4,4,4,4,2,6,6,6,1,1,1,FL_109,,,low Status,hypocat|hypoformative,11|9|13|14|12|4|5|1|15|10|7|3|8|2|16|6,35.0585022,-106.6235962,-1
R_yEmYpuDPHa6qJNL,Default Response Set,Anonymous,,,201.209.195.3,0,5/21/2016 11:41,5/21/2016 13:48,1,1,1,A17A5NYWD0JNRJ,37,2,1,1,,,,,5,3,6,2,3,6,3,,6,5,5,8,2,1,8,2,8,6,8,1,8,6,6,6,2,5,5,5,4,5,4,5,4,4,4,4,4,2,3,3,3,3,3,3,3,2,3,3,3,1,1,,,,,,,1,14.641,776.709,784.565,79,"Jordan was an artist and he had a decently talented;  unfortunately, he was never really able to find his voice as an artist. Sullivan was arrested last October after the LAPD found nearly 60 forged paintings in his apartment. ",He made no effort to improve their talent he preferred to take the easy way. ,5,6,5,6,5,6,6,Front Page,1,3,4,6,3,6,6,3,5,2,2,2,2,2,2,2,2,7,7,7,1,1,1,FL_109,,,low Status,hypocat|hypoformative,4|11|12|2|14|9|13|1|16|5|7|10|3|15|8|6,10.63169861,-71.64060211,-1
R_1LSbuifkcPUAqzD,Default Response Set,Anonymous,,,139.55.234.134,0,5/21/2016 13:32,5/21/2016 13:59,1,1,1,A193D9OQUVFSVT,33,2,1,1,,,,,3,1,9,7,7,7,3,,1,1,5,4,2,8,6,7,7,1,4,1,1,1,1,4,1,4,4,7,7,7,7,7,7,4,1,1,1,1,2,3,2,2,3,1,1,3,1,1,3,1,1,,1,0,0,565.931,0,,,,,,"The artist grew up in the projects. When he was six, his mother died from illness. His real dad came and got him and he went to college. He created the art project to reflect his life experiences in poverty.",Process of an Artist,4,5,3,1,4,3,2,Arts and Entertainment,1,4,5,1,4,5,5,3,6,1,1,1,1,1,1,1,2,7,7,7,1,1,1,FL_58,high status,hypocat|hypoformative,,,11|8|9|6|14|1|15|12|3|7|5|10|13|16|2|4,36.00079346,-106.1315994,-1
R_1BXkr5BElDpX6qp,Default Response Set,Anonymous,,,76.181.155.239,0,5/21/2016 14:04,5/21/2016 14:09,1,1,1,A1IS0218RVG60K,39,2,1,1,,,,,4,2,6,1,1,1,3,,2,3,5,7,2,2,7,2,6,2,7,1,6,2,1,1,1,6,6,6,7,1,2,1,1,6,7,7,6,2,1,1,2,3,1,2,1,2,1,2,3,1,1,,,,,,,1,3.422,3.422,42.381,1,Jordan Sullivan pled guilty to charges of art forgery. He was arrested by the LAPD with about 60 paintings in his apartment. They were all forged paintings.,"""F for Fake"" brought into the modern day",4,5,4,5,4,3,4,2,1,2,3,5,3,5,6,3,4,4,4,4,4,4,4,4,2,7,6,7,1,1,1,FL_58,low Status,hypoformative|hypocat,,,16|15|1|7|8|13|11|10|6|14|3|2|4|12|5|9,39.68780518,-82.604599,-1
R_3paKomn8pQzuyIY,Default Response Set,Anonymous,,,108.197.55.19,0,5/21/2016 14:04,5/21/2016 14:15,1,1,1,A3BSE5PUEKPTRU,40,1,1,1,,,,,3,2,5,7,7,7,3,,4,4,5,6,1,1,6,6,7,1,8,6,8,2,4,2,4,7,7,2,6,2,4,2,4,4,4,4,4,3,2,3,1,1,2,2,1,2,3,2,2,1,1,,1,50.011,50.011,82.453,1,,,,,,"The young man lost his mother at a very young age, went to live with his father after becoming reacquainted with him, then went on to college at UCLA where he received his BFA and MFA. His work was shown and some said it was some of the best work showing poverty in modern times. ",A boy who over came tragedy and became a legend. ,7,7,7,7,7,7,7,One of the first 5 ,1,7,7,1,7,7,7,3,7,3,3,3,4,4,4,4,2,7,7,7,1,1,1,FL_109,,,high status,hypocat|hypoformative,4|8|2|1|3|7|10|6|13|15|16|5|14|12|11|9,39.96530151,-83.02349854,-1
R_2t56FUfuJMQyVHO,Default Response Set,Anonymous,,,209.6.226.84,0,5/21/2016 14:04,5/21/2016 14:15,1,1,1,A1SKJ8SKCAY4WK,35,1,1,1,,,,,4,2,6,1,1,1,3,,1,4,5,7,1,1,7,1,7,4,8,1,8,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,2,2,3,1,3,2,1,1,3,1,1,3,1,1,,1,2.954,90.997,92.936,4,,,,,,Works by the artist Jordan Sullivan were selected to be exhibited by the Hive Gallery in Los Angeles. Sullivan grew up in difficult circumstances but persevered. He is among the youngest artists to have his art displayed by the gallery.,Young Artist Jordan Sullivan Honored by Hive Gallery,4,5,6,5,5,6,7,2,1,5,6,1,7,7,7,3,7,3,3,3,4,2,3,2,2,7,7,7,1,1,1,FL_58,high status,hypocat|hypoformative,,,1|9|7|13|10|12|3|6|5|8|16|15|14|2|11|4,42.37219238,-71.17870331,-1
R_12lgn4lUuNgcTgZ,Default Response Set,Anonymous,,,67.234.189.178,0,5/21/2016 14:05,5/21/2016 14:16,1,1,1,A2ICVDCUQ736Y9,40,1,1,1,,,,,5,3,9,4,6,1,3,,2,4,5,2,6,7,6,7,6,2,8,1,4,1,2,1,1,6,7,2,1,2,2,4,3,6,6,6,6,2,3,3,2,2,3,2,2,2,1,2,3,1,1,,1,0,0,85.348,0,,,,,,Dynamic young artist epitomizes urban condition in mixed media; makes waves in LA art scene,A2ICVDCUQ736Y9,5,7,7,7,6,7,7,1st page of arts and culture,1,5,7,1,5,6,7,3,6,2,2,2,1,1,1,1,2,7,7,7,1,1,1,FL_109,,,high status,hypoformative|hypocat,6|14|3|9|5|7|13|12|10|4|2|16|11|1|15|8,40.20150757,-77.18890381,-1
R_22wXlwEoiVsGhR6,Default Response Set,Anonymous,,,184.17.39.42,0,5/21/2016 14:06,5/21/2016 14:20,1,1,1,A3JQ7DXNK59KEW,23,1,1,,,,,1,2,1,4,4,3,3,3,,3,5,5,1,2,6,2,7,3,3,6,6,3,5,5,5,6,5,5,5,3,3,3,3,5,5,5,5,3,2,1,1,1,1,1,1,2,2,1,1,3,1,1,,,,,,,1,0,0,81.847,0,"Sullivan was an artist that ended up not being successful, so he began forging fine art and is facing charges now.","Artist Finds Himself In Immoral Position, Faces Charges",3,3,2,2,2,1,1,'Odd News',1,4,3,4,3,3,5,3,5,6,6,6,4,5,5,6,2,6,6,7,1,1,1,FL_58,low Status,hypocat|hypoformative,,,7|14|15|5|9|4|1|3|6|10|8|12|11|2|16|13,40.4763031,-86.95709991,-1
R_w6IKI8Q8JVq7CKd,Default Response Set,Anonymous,,,74.51.211.50,0,5/21/2016 14:04,5/21/2016 14:20,1,1,1,A16RW6QY7QQ4QI,24,2,1,1,,,,,3,2,6,2,5,1,4,,2,3,5,1,6,7,2,8,3,6,6,3,1,1,1,1,2,6,1,6,5,1,2,3,6,6,3,7,6,3,2,2,1,1,2,3,3,3,3,2,3,1,1,,,,,,,1,0,0,143.27,0,sullivan was charged with fine arts forgery. He was a student who received a BFA from his university. the evidence suggests that his forgery began when his senior project was not well received by critics.,Art student uses knowledge to forge a life of crime,6,5,6,3,3,2,4,2,1,3,3,6,1,4,5,3,3,3,5,4,4,3,5,5,2,6,7,7,1,1,1,FL_58,low Status,hypoformative|hypocat,,,10|9|3|7|8|1|6|14|4|16|12|11|15|13|5|2,40.81759644,-96.71140289,-1
R_2dSVX2pZGTTxHAl,Default Response Set,Anonymous,,,71.8.99.67,0,5/21/2016 14:03,5/21/2016 14:24,1,1,1,A9MJVJAMLCDMV,63,1,1,1,,,,,4,3,6,5,6,6,3,,7,6,5,7,1,1,7,4,7,2,7,1,8,2,3,2,2,6,6,6,6,2,2,1,6,6,6,6,6,2,3,3,2,1,2,2,2,2,2,3,2,1,1,,1,0,0,163.497,0,,,,,,IT WAS ABOUT A  VERY YOUNG ARTIST THAT HAD HIS WORK SHOWN AT A HIGHLY RATED ART GALLERY WHERE IT WAS WELL RECEIVED ,A VERY SPECIAL CANVAS ,6,7,7,6,6,4,7,3 OR 4,1,6,7,1,6,7,6,3,7,2,4,4,3,3,3,3,2,7,7,7,1,1,1,FL_109,,,high status,hypocat|hypoformative,10|8|14|4|16|15|2|1|13|6|12|5|11|3|9|7,30.53149414,-90.46279907,-1
R_3Ed9JvABZXvISX8,Default Response Set,Anonymous,,,69.119.118.139,0,5/21/2016 14:14,5/21/2016 14:24,1,1,1,A3RO90I4O8I0O2,22,1,1,1,,,,,5,3,6,2,2,2,3,,2,2,5,7,2,2,7,3,7,4,6,2,7,2,2,2,2,6,6,6,6,2,2,2,4,6,6,3,5,2,2,2,2,2,3,2,1,2,2,2,2,1,1,,1,0,0,70.284,0,,,,,,"Jordan Sullivan a 27 year old, is an artist that has received critical acclaim from professors and directors from UCLA. He is one of the youngest artists to have an exhibit featured at a prestigious gallery. In his paintings, he depicts poverty and urban living, which he had first-hand experience in as a child. ",A young artist that rose from the slums to prestige,6,5,4,3,3,2,4,3,1,5,5,2,6,4,5,3,6,4,4,4,4,4,4,4,2,6,5,6,1,1,1,FL_58,high status,hypoformative|hypocat,,,5|14|3|2|8|4|7|12|13|10|11|16|6|9|15|1,41.11810303,-74.08329773,-1
R_2V7OCjl1B8ASeGb,Default Response Set,Anonymous,,,75.1.137.46,0,5/21/2016 10:37,5/21/2016 10:45,0,1,1,A3H0TIRE1RVR24,34,2,1,1,,,,,7,3,6,5,5,4,4,,3,4,5,3,6,4,6,7,3,3,6,2,6,5,5,5,4,4,4,4,3,4,5,5,4,3,5,3,4,3,3,3,3,2,3,2,1,1,3,3,2,1,1,,1,0,0,67.722,0,,,,,,Jordan has come from poverty and childhood hardships to critical success. His new art collection is receiving rave reviews from many known critics. ,True Grit: From Urban Poverty to Critical Success,4,5,3,3,1,4,4,10,1,5,5,3,4,6,6,3,5,3,2,3,2,2,2,2,2,6,5,6,1,1,,FL_58,high status,hypoformative|hypocat,,,11|8|6|5|14|13|2|7|12|10|9|1|16|15|3|4,,,-1
R_1DtX2vhNbJT2bk5,Default Response Set,Anonymous,,,206.217.128.67,0,5/21/2016 14:28,5/21/2016 14:48,1,1,1,A28HYRF3QXFAXL,27,1,1,,1,,,,6,3,6,5,5,5,3,,5,4,5,4,2,2,4,4,3,4,6,3,6,7,5,2,7,2,7,4,4,7,2,7,1,4,3,2,1,2,2,3,2,1,2,2,1,2,3,1,3,1,1,,,,,,,1,0,0,208.257,0,"A Los Angeles man was arrested for art forgery. He grew up in Los Angeles and Portland and studied art in college; however, he didn't have any success as an artist. He is charged with selling thousands of dollars of forgeries to art dealers.",Arrested Art Forger Has L.A. Roots.,2,1,4,4,3,1,1,Somewhere in the local news section.,1,3,1,7,1,6,4,3,3,2,2,2,4,4,4,4,1,7,7,7,1,1,1,FL_109,,,low Status,hypocat|hypoformative,12|7|15|2|16|6|4|9|10|11|14|3|8|5|13|1,42.88639832,-78.87809753,-1
