V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,consent,mturk_id,demo_age,demo_gend,demo_citiz,demo_emplo_1,demo_emplo_2,demo_emplo_3,demo_emplo_4,demo_emplo_5,demo_incom,demo_class,demo_educa_1,Q17_1,Q19_1,Q19_2,ethnic_id,ethnic_id_TEXT,ethnic_id2,ethnic_id3,attn,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,LSI_1,LSI_2,LSI_3,LSI_4,LSI_5,LSI_6,LSI_7,LSI_8,LSI_9,LSI_10,LSI_11,LSI_12,SDO7_1,SDO7_2,SDO7_3,SDO7_4,SDO7_5,SDO7_6,SDO7_7,SDO7_8,SDO7_9,SDO7_10,SDO7_11,SDO7_12,SDO7_13,SDO7_14,SDO7_15,SDO7_16,Q63,j_training,j_training_TEXT,Q76_1,Q76_2,Q76_3,Q76_4,Q48,Q75_1,Q75_2,Q75_3,Q75_4,Q50,summary,headline,writing,include,pagenum,Q35,age,credible,status,ambitious,attn2,hardwork,emphasis,Q78,Q80,hypo_4,hypo_11,hypo_12,hypo_5,guilt1,guilt2,guilt3,guilt4,guilt5,Q66,Q65,DO-BR-FL_15,DO-BR-FL_21,DO-Q-SDO7,LocationLatitude,LocationLongitude,LocationAccuracy
R_1QuUcyFykvsgyPC,Default Response Set,Anonymous,,,108.202.100.82,0,9/9/2015 0:46,9/9/2015 1:01,1,1,1,AFY67D25GDND4,23,2,2,,1,,,,4,3,6,4,4,1,3,,1,5,5,2,3,7,4,7,2,6,3,3,2,3,2,3,1,2,2,1,1,2,1,2,3,1,1,1,1,7,7,7,4,1,1,1,2,7,7,7,7,1,1,,,,,,,0,0,143.299,0,1,"Dr. Mendez fabricated research results to indicate that injecting melanoma, a form of skin cancer, with cold virus could stimulate recovery in patients. Optimistic doctors started using the treatment and found that it had no result, and the resulting outcry forced Mendez to admit his fraud.",Medical community outraged by phony melanoma 'cure',4,5,5,1,3,1,3,7,3,3,3,3,3,4,4,4,4,7,7,1,7,7,1,1,target does something bad,hypocat|hypoformative,15|13|16|2|5|6|10|11|7|14|4|1|12|3|9|8,33.77079773,-84.29299927,-1
R_25ux5Zbh322riWL,Default Response Set,Anonymous,,,64.134.230.91,0,9/9/2015 0:47,9/9/2015 1:05,1,1,1,A1FYFBIFYWTMJS,29,1,1,1,,,,,2,2,8,5,5,5,3,,3,3,5,7,1,1,6,2,7,6,7,1,8,3,2,3,2,2,3,1,1,3,1,1,2,1,1,7,1,7,7,1,1,1,1,1,7,7,7,7,7,1,1,,,,,,,0,0,115.367,0,1,Dr. Mendez falsified data that claimed to have found a cure for skin cancer. This is a serious blow to the medical community and to the field of medicine. ,Doctor Fabricates Cancer Cure,6,6,2,1,3,3,3,7,3,3,4,2,3,6,5,5,5,2,2,2,6,6,1,1,target does something bad,hypocat|hypoformative,4|7|1|13|15|16|6|12|3|11|8|2|14|9|10|5,34.05220032,-118.2436981,-1
R_XTDQfe06F4PJIcx,Default Response Set,Anonymous,,,75.77.200.230,0,9/9/2015 0:54,9/9/2015 1:05,1,1,1,A3I3RJX6SN3PSI,23,2,1,1,,,,,3,3,5,5,5,5,3,,6,6,5,6,8,2,7,3,2,2,6,6,6,2,1,3,1,2,3,2,1,3,1,1,3,1,3,4,1,6,5,5,5,3,3,3,7,4,3,4,5,1,1,,0,0,47.368,0,1,,,,,,A scientist has discovered a possible treatment for melanoma which includes injecting the common cold virus into affected areas. ,Cold on Cancer: A Treatment for Melanoma,5,6,2nd page,1,4,6,6,7,3,7,4,3,4,4,3,3,4,2,1,1,5,3,1,1,target does something good,hypocat|hypoformative,16|12|5|9|3|6|13|2|14|4|15|10|1|8|7|11,38.70730591,-90.30310059,-1
R_blpMi8GZPQa26gd,Default Response Set,Anonymous,,,71.83.159.245,0,9/9/2015 1:10,9/9/2015 1:23,1,1,1,A1THXHPVWVEWNZ,24,1,1,,,,,1,1,3,5,4,4,3,3,,1,1,5,2,4,6,8,7,7,1,3,3,7,2,2,2,1,2,2,2,3,2,2,2,3,3,2,2,1,7,7,7,7,3,3,4,3,6,5,5,6,1,1,,256.891,256.891,276.365,1,1,,,,,,"Researchers publish results of a breakthrough new treatment for melanoma (skin cancer), which involved modifying the genome of a cold virus to affect the cancer patient's immune system and ""train"" it to fight off the tumor",Revolutionary Melanoma Treatment Shows Breakthrough Results,6,7,2nd or 3rd page,1,2,7,5,6,3,6,4,4,4,4,3,4,4,1,2,3,5,4,1,1,target does something good,hypoformative|hypocat,5|10|6|4|3|9|12|14|11|2|16|1|8|15|13|7,34.25570679,-117.3040009,-1
R_SUBRwfxFljPUmWd,Default Response Set,Anonymous,,,24.250.70.41,0,9/9/2015 1:09,9/9/2015 1:26,1,1,1,ABKPRL0J5P06O,37,2,1,,1,,,,5,3,6,2,3,2,3,,6,5,5,1,2,3,6,8,8,2,7,2,7,2,3,3,2,1,2,2,1,2,3,2,2,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,1,1,,0,0,118.73,0,1,,,,,,"Dr mendez seems to have found an effective treatment or cure for melanoma, a type of skin cancer. By injecting a mutated cold virus into the cancerous area, the body is able to heal itself.",Clinical trials prove effective against melanoma,6,7,the first,1,2,6,6,7,3,7,4,6,6,5,5,5,5,6,6,2,7,7,1,1,target does something good,hypocat|hypoformative,13|2|15|11|3|1|12|5|7|10|9|6|4|16|14|8,30.42849731,-91.01950073,-1
R_2TRdK9BpuSkgvlw,Default Response Set,Anonymous,,,173.23.216.28,0,9/9/2015 1:08,9/9/2015 1:27,1,1,1,AFNGM40QC84Z1,50,2,1,1,,,,,3,3,4,5,4,6,7,white/Native American,7,7,5,2,1,3,6,7,8,3,8,3,7,2,3,3,3,2,3,2,1,3,2,2,3,2,2,3,2,6,6,6,6,3,3,3,3,6,6,6,6,1,1,,,,,,,0.915,46.414,142.201,4,1,"Dr. Mendez, a medical school researcher, claimed he had found a cure for melanoma when in fact all he actually did was publish false data about it.",Medical school researcher gives false hopes for melanoma cure,7,7,1,1,2,5,6,6,3,6,5,4,4,5,3,5,3,5,5,3,7,7,1,1,target does something bad,hypocat|hypoformative,4|3|6|7|13|10|14|15|12|9|8|11|1|16|5|2,38.88169861,-92.40200043,-1
R_2dPVa34VpcMlOUJ,Default Response Set,Anonymous,,,65.26.61.98,0,9/9/2015 1:10,9/9/2015 1:30,1,1,1,A2OZHXBRLDKLSP,33,2,1,,1,,,,1,3,9,6,6,5,3,,5,2,5,2,6,7,7,8,6,4,6,6,6,2,2,3,1,2,2,1,1,3,1,1,3,2,4,3,2,4,5,6,4,2,5,6,5,5,3,5,6,1,2,"I took a high school journalism class, and did some writing for the school paper",,,,,,0,0,48.675,0,1,"Dr. Mendez, a noted medical researcher was found to have falsified data regarding his potential cure for melanoma. This was discovered when other researchers attempted to duplicate his treatment through injecting cold cells into the melanoma to teach the cancer to treat itself.  Dr. Mendez's personal history which includes the death of his father due to melanoma makes this news particularly upsetting to one interviewed source.",Noted Scientist Falsifies Data On His New Cancer Treatment,6,6,3,1,3,6,7,7,3,6,4,4,4,4,4,4,4,2,2,3,7,6,1,1,target does something bad,hypocat|hypoformative,8|10|11|15|6|9|4|1|14|16|5|3|13|7|2|12,43.23579407,-88.12709808,-1
R_21zD1rzpDTOHdWg,Default Response Set,Anonymous,,,68.37.248.84,0,9/9/2015 1:11,9/9/2015 1:33,1,1,1,A1PEEFFG1YL103,50,1,1,,,,,1,2,3,5,2,2,1,3,,4,5,5,2,2,2,4,6,6,2,2,8,6,2,2,3,2,1,2,1,2,3,2,1,3,1,1,1,1,7,7,7,7,1,1,1,1,7,7,6,7,1,2,I had two journalism classes back in 1985.,0,0,180.165,0,1,,,,,,"A doctor, Alex Mendez, has found what seems to be a promising cure for melanoma (skin cancer.) In test trials the cure has about a 75% success rate.",Promising cure for skin cancer,6,6,science section,1,3,6,6,6,3,7,4,4,4,4,4,4,4,2,2,1,7,7,1,1,target does something good,hypoformative|hypocat,15|6|16|5|10|8|11|2|7|4|9|1|13|3|12|14,42.17590332,-83.48069763,-1
R_31HRy5eEotR9pkv,Default Response Set,Anonymous,,,73.161.5.84,0,9/9/2015 1:09,9/9/2015 1:34,1,1,1,A1JPUM7KH3020K,54,2,1,,1,,,,3,2,4,4,4,4,3,,6,5,5,6,4,6,6,7,6,2,7,2,3,2,2,3,2,2,3,2,1,2,2,3,2,3,4,4,3,6,6,5,5,2,6,3,4,5,6,6,5,1,1,,6.537,84.49,96.806,6,1,,,,,,"Dr. Mendez discovers a cure for melanoma, cancer of the skin.  It talks about how many people get it and how many die from it.  It also says that they did a study and that it cured over 70% of the trial patients.","Melanoma Has Met Its Match, Cure Found",6,7,front,1,3,6,6,5,3,7,4,4,3,4,3,4,4,5,6,2,6,5,1,1,target does something good,hypoformative|hypocat,5|10|9|2|4|15|11|6|8|13|16|1|12|14|3|7,42.20610046,-83.62280273,-1
R_2yfTVTUGdYC0hrU,Default Response Set,Anonymous,,,71.201.169.85,0,9/9/2015 1:09,9/9/2015 1:43,1,1,1,A293W3UQ4R169G,59,2,1,1,,,,,6,3,8,2,2,1,3,,5,4,5,2,7,8,6,7,7,1,2,6,1,2,3,2,2,1,1,1,1,3,1,1,3,1,1,1,1,6,7,7,7,2,2,1,2,6,6,6,6,1,1,,,,,,,0,0,172.731,0,1,"Dr. Mendez falsified data and published in a prestigious journal that he had discovered a cure for melanoma, a cancer which kills 10,000 a year in the U.S.  He claimed to be able to inject a mutated cold virus into a lesion and thereby teach the body to heal itself. His deception was uncovered when other doctors were unable to replicate the results of his experiment in their own patients with melanoma. Dr. Mendez admitted to the fraud but gave no reason for his actions.",Physician Son of Melanoma Victim Fraudulently Claims to Find Miracle Cure,4,5,"3 or 4, or health section",1,2,2,2,7,3,3,3,4,4,3,3,3,3,5,6,2,5,6,1,1,target does something bad,hypocat|hypoformative,13|3|14|6|11|2|8|4|12|10|1|9|7|15|5|16,40.47340393,-88.99150085,-1
R_2WSXoGizGCBS4xn,Default Response Set,Anonymous,,,173.225.146.132,0,9/9/2015 1:38,9/9/2015 2:01,1,1,1,A3LT7W355XOAKF,58,1,1,1,,,,,3,2,6,3,3,1,3,,5,2,5,7,3,6,6,1,6,1,8,1,6,3,3,1,2,1,3,3,1,3,3,1,3,3,3,1,5,7,6,5,7,1,2,2,2,7,7,6,7,1,1,,,,,,,2.806,160.18,161.179,5,1,A medical researcher made up a bogus cure for melanoma and published the information which was then implemented by other medical professionals who discovered that the treatment did not work at all. ,Researcher Admits To Publishing Bogus Melanoma Treatment,5,5,2,1,2,2,2,6,3,4,6,2,2,1,1,2,2,2,1,5,6,6,1,1,target does something bad,hypoformative|hypocat,6|15|7|14|2|3|11|4|9|10|5|12|16|1|13|8,45.75010681,-94.14009857,-1
R_AtctbW08E36ZnZ7,Default Response Set,Anonymous,,,216.105.77.70,0,9/9/2015 2:05,9/9/2015 2:13,1,1,1,A3W3TEOEEF4Z3X,32,2,1,1,,,,,3,2,5,1,2,1,3,,1,2,5,1,4,8,7,8,6,4,1,8,2,1,2,1,1,2,2,1,1,3,1,1,3,1,1,1,1,7,7,7,7,1,1,1,7,7,7,7,7,1,1,,0,0,58.175,0,1,,,,,,Dr. Juan Mendez has come up with a treatment for melanoma which involves injecting the cancerous cells with the cold virus. ,Could the Common Cold Cure Cancer?,4,6,Living/Life Section,1,2,7,6,7,3,7,4,4,4,4,4,4,4,6,5,1,7,7,1,1,target does something good,hypocat|hypoformative,14|4|8|7|10|16|5|1|9|3|12|2|15|6|11|13,45.06660461,-122.769104,-1
R_1g60jaqkmRSdxib,Default Response Set,Anonymous,,,173.216.96.224,0,9/8/2015 22:06,9/8/2015 22:17,0,1,1,A10LGIY5HFYMZM,56,1,1,,,,,1,3,2,4,7,7,7,3,,7,7,5,4,1,1,6,8,7,1,8,1,1,2,2,1,2,1,1,1,1,1,1,1,1,4,4,4,4,5,3,3,4,5,3,4,4,5,3,3,3,1,1,,,,,,,0,0,23.257,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,target does something bad,,5|1|14|2|4|8|3|10|11|12|9|13|7|16|15|6,,,-1
R_tQiHaEpLtgcozcd,Default Response Set,Anonymous,,,174.21.177.155,0,9/9/2015 2:10,9/9/2015 2:18,1,1,1,A3FGVHA04PJ5NS,22,2,1,1,,,,,2,2,6,2,3,1,3,,2,3,5,6,4,6,7,7,8,2,2,7,7,3,2,2,2,1,3,2,1,2,3,3,3,1,1,1,2,7,7,6,7,1,1,2,2,7,6,7,1,1,1,,,,,,,0,0,64.649,0,1,"Dr. Mendez conducted a two year long study suggesting that injecting a mutated cold virus directly into melanoma would teach the body to heal itself, saving thousands of lives. His data was falsified and the treatment is ineffective.",Falsified data yields false hope for melanoma cure,5,6,8,1,3,1,2,7,3,3,1,1,1,4,4,4,4,5,4,1,5,6,1,1,target does something bad,hypocat|hypoformative,5|15|4|13|2|10|12|1|16|8|6|11|14|3|9|7,47.63439941,-122.3422012,-1
R_3kwhSMdb0WpUiiv,Default Response Set,Anonymous,,,75.102.134.5,0,9/9/2015 2:11,9/9/2015 2:18,1,1,1,AQSXK4ZTUKT0V,19,1,1,,,1,,,2,3,5,3,2,4,3,,2,1,5,2,3,7,3,7,3,3,1,2,3,2,1,2,3,2,2,3,2,3,2,2,2,4,2,3,4,5,5,3,5,4,6,2,5,5,7,1,3,1,1,,,,,,,0,0,65.034,0,1,A researcher from George Washington University falsified the data he collected to make it seem like he had come up with a way of injecting a cold virus into melanoma lesions and destroying them.,GWU Researcher Admits to Falsifying Data on Cancer Cure,6,7,3,1,3,2,2,4,3,3,5,2,3,4,3,3,4,1,1,1,1,1,1,1,target does something bad,hypoformative|hypocat,7|8|11|10|16|12|1|5|6|13|14|3|15|4|2|9,26.38180542,-80.104599,-1
R_3QQUVVswcaL02Og,Default Response Set,Anonymous,,,50.139.214.221,0,9/9/2015 2:10,9/9/2015 2:18,1,1,1,A2EWDOWM4V2VBM,22,2,1,,,,,1,4,3,6,4,4,4,3,,4,1,5,1,7,6,7,8,8,4,7,1,7,3,2,3,3,2,2,1,1,3,2,2,3,1,4,1,1,7,5,6,7,1,1,1,4,7,7,7,4,1,1,,0,0,45.454,0,1,,,,,,A Dr. Mendez found a possible cure for melanoma by injecting mutated cold virus cells directly into infected cells. This has cured 78% of patients in a group of about 800 over 2 years. ,Can The Common Cold Cure Your Melanoma?,5,4,2,1,2,5,5,5,3,5,4,4,4,4,4,4,4,4,4,3,5,5,1,1,target does something good,hypocat|hypoformative,4|14|5|11|9|15|10|3|8|12|16|13|1|2|6|7,32.70809937,-79.94380188,-1
R_2PBxUkcViBTHunM,Default Response Set,Anonymous,,,66.87.83.41,0,9/9/2015 2:09,9/9/2015 2:23,1,1,1,A38430CKSXSBLI,26,1,1,1,,,,,3,2,6,3,3,3,2,,4,2,5,7,3,4,8,3,6,1,6,4,3,2,3,3,2,1,3,1,1,1,1,1,3,4,4,4,4,5,6,5,5,2,5,2,2,6,5,6,6,1,1,,0,0,78.576,0,1,,,,,,"Through many years of hard work, Mendez has figured out a cure to Melanoma by injecting a mutated cold virus into the skin. The cure has been proven to work 70% to 80% of the time.",Curing Melanoma is just the beginning,6,6,1,1,2,6,6,6,3,6,4,3,4,3,4,3,3,3,3,4,5,5,1,1,target does something good,hypocat|hypoformative,16|2|4|13|9|12|11|6|8|10|5|14|15|3|1|7,38.92280579,-76.88839722,-1
R_TjaXcmbe5u1nokN,Default Response Set,Anonymous,,,167.177.39.6,0,9/9/2015 2:10,9/9/2015 2:24,1,1,1,A391ICT18OS1NM,35,1,1,1,,,,,4,3,9,1,1,1,3,,4,3,5,6,1,4,6,3,7,3,8,1,7,2,3,3,2,3,1,3,2,2,2,2,3,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,1,1,,,,,,,0,0,75.096,0,1,Dr. Mendez faked his data. He said that he had found a cure for Melanoma but in reality he fabricated his data.  His “cure” didn’t work at all when tested by other scientists and researchers. ,Dr. Mendez lies about curing Melanoma,5,6,front,1,3,1,2,4,3,2,4,5,6,6,6,6,5,6,6,1,5,6,1,1,target does something bad,hypocat|hypoformative,16|10|15|8|2|4|13|1|3|14|12|11|7|5|9|6,44.93739319,-93.22190094,-1
R_qJXc0nhaPax1Soh,Default Response Set,Anonymous,,,66.58.221.75,0,9/9/2015 2:09,9/9/2015 2:25,1,1,1,A6G9LBL7UXA8N,28,2,1,,,,,1,5,3,6,4,4,4,3,,3,3,5,3,3,2,7,7,7,2,7,3,7,3,2,3,1,3,2,3,2,2,3,2,2,2,2,2,1,6,6,5,6,1,2,2,4,7,6,6,7,1,1,,0,0,84.89,0,1,,,,,,"A doctor discovered that by injecting a cold virus into the affected skin, melanoma can be cured. A study took place over 2 years with an 78% success rate.",Son of melanoma victim discovers cure,5,5,1,1,2,5,4,6,3,6,4,4,4,4,4,4,4,2,3,2,5,5,1,1,target does something good,hypoformative|hypocat,9|8|11|7|14|4|13|15|6|5|3|16|2|1|12|10,61.16369629,-149.9916992,-1
R_1K3y4XDk4JAxL2k,Default Response Set,Anonymous,,,24.205.179.45,0,9/9/2015 2:05,9/9/2015 2:35,1,1,1,A2DXSHR0ZWHIYD,18,1,1,,1,1,,,7,4,5,2,2,2,2,,6,6,5,2,2,4,7,7,6,4,6,3,4,3,3,3,2,1,2,2,3,3,3,1,2,2,3,3,3,6,6,2,6,2,2,2,2,6,5,5,6,1,1,,3.871,31.974,39.298,4,1,,,,,,This article discussed a Mexican researcher who had performed work to treat the type of cancer known as melanoma. It discusses its current impact on American society briefly then delves into the new form of treatment and therapy.,Melanoma: A New Treatment Arises,5,5,2,1,2,5,5,5,3,6,4,5,5,4,4,4,4,5,5,3,4,4,1,1,target does something good,hypoformative|hypocat,10|16|3|15|14|1|7|8|12|5|9|4|2|13|6|11,34.06269836,-117.8896027,-1
R_cYBS8sBAtJACKAx,Default Response Set,Anonymous,,,54.148.44.119,0,9/9/2015 2:40,9/9/2015 2:54,1,1,1,A160HFSRDNT91E,25,1,1,1,,,,,3,2,9,2,1,1,3,,2,2,5,2,6,3,7,6,7,2,4,7,6,3,2,2,2,2,1,1,1,2,1,1,3,1,1,1,1,4,6,7,7,1,4,1,4,7,6,5,5,1,1,,,,,,,0,0,54.678,0,1,"A doctor named Mendez claimed he had a treatment to cure melanoma (skin cancer). However, when other doctors repeated his treatment, they found that it did nothing. He later admitted to falsifying his results. ",Skin Cancer Cure or Snake Oil? ,4,4,3,1,2,5,5,6,3,4,3,4,4,4,4,4,4,6,6,1,6,5,1,1,target does something bad,hypocat|hypoformative,6|15|4|1|14|9|8|16|7|10|3|13|2|12|11|5,45.83990479,-119.7005997,-1
R_1FagvHV1MTfFgXP,Default Response Set,Anonymous,,,174.97.248.76,0,9/9/2015 2:41,9/9/2015 2:54,1,1,1,A1HBIE5LRTQK1L,46,1,1,1,,,,,5,3,4,5,5,3,3,,4,2,5,6,3,2,4,6,7,4,7,2,7,2,2,2,2,2,2,2,1,2,2,2,2,4,4,4,4,4,4,4,4,3,6,4,4,5,4,5,4,1,1,,113.094,132.884,134.237,7,1,,,,,,"Essentially, a researcher discovered a way to control or eliminate melanoma, a cancer. I believe it stated he had been working on this for several years.",FINALLY,5,6,1,1,4,6,4,6,3,6,5,4,4,4,4,4,4,2,2,4,6,5,1,1,target does something good,hypoformative|hypocat,15|13|9|3|12|4|11|6|1|5|14|10|2|7|8|16,39.46620178,-87.31479645,-1
R_sdOOa8bv8wHgv8B,Default Response Set,Anonymous,,,172.88.165.205,0,9/9/2015 2:47,9/9/2015 2:57,1,1,1,A25SG4GYD6W10N,28,1,1,,,1,,,2,1,8,3,1,2,3,,7,7,5,8,6,3,8,2,8,1,7,2,7,2,3,2,1,3,1,3,1,1,3,3,2,1,1,1,1,7,7,7,7,1,1,1,1,1,7,6,7,1,1,,0,0,56.948,0,1,,,,,,Doctor Mendez and his team of researchers have preliminary findings that a cold virus can be altered and used to inject a patient with a cure for skin cancer (melanoma).,Doctors Find Promising Melanoma Cure,6,7,Front Page,1,4,7,7,7,3,7,4,1,1,2,1,1,1,7,7,1,7,7,1,1,target does something good,hypocat|hypoformative,16|1|9|3|13|2|11|15|8|5|12|4|14|7|6|10,34.52000427,-118.0834961,-1
R_3J30SpCNxMICfQi,Default Response Set,Anonymous,,,88.212.36.158,0,9/9/2015 2:38,9/9/2015 2:57,1,1,1,AF4GCRZE8LNB7,44,1,1,1,,,,,4,3,5,4,4,4,3,,7,4,5,7,2,2,7,2,7,2,7,2,7,3,3,3,3,3,3,1,2,2,2,2,2,4,5,2,5,3,3,5,6,3,6,5,4,3,3,3,5,1,1,,,,,,,94.785,113.984,139.276,4,1,"Doctor Alex Mendez publishing falsified data about finding cure for melanoma. His colleagues where very upset, and afraid it will badly reflect on their field. ","Doctor falsified data, melanoma not cured yet",6,6,fifth,1,3,2,4,6,3,4,3,4,4,4,4,4,4,1,1,6,6,6,1,1,target does something bad,hypoformative|hypocat,3|8|12|10|5|7|2|4|16|15|1|14|9|6|11|13,48.71389771,21.25810242,-1
R_AKASXUl82TqsOBz,Default Response Set,Anonymous,,,54.148.44.119,0,9/9/2015 3:10,9/9/2015 3:20,1,1,1,A1NVOFJ7K0JYOA,33,1,1,1,,,,,5,4,4,4,6,1,3,,1,1,5,8,1,6,8,1,7,1,4,6,4,3,2,3,2,1,2,2,1,3,3,2,3,1,2,2,2,6,7,7,6,1,1,1,2,6,7,6,7,1,1,,0,0,52.753,0,1,,,,,,Dr. Mendez was able to cure a percentage of people with melanoma by injecting a mutated cold virus directly into the skin.,Possible cure for melanoma found in virus,6,7,NY Times,1,3,6,7,7,3,7,4,1,1,4,4,4,4,4,4,1,7,7,1,1,target does something good,hypocat|hypoformative,8|4|6|15|2|9|1|13|14|7|3|12|11|10|16|5,45.83990479,-119.7005997,-1
R_r74OUZVoVafjr21,Default Response Set,Anonymous,,,115.114.135.248,0,9/9/2015 3:12,9/9/2015 3:20,1,1,1,A3S96RKRERLL93,29,2,1,1,,,,,3,3,5,2,3,2,3,,2,2,5,2,3,3,4,3,4,3,2,3,3,2,1,1,2,1,2,3,1,1,1,2,2,3,1,3,2,4,2,3,3,2,3,2,3,2,3,2,2,1,1,,,,,,,0,0,85.481,0,1,"Mendez, a prominent researcher made up falsified data promising to have cured Melanoma, a form of cancer. Scientists were mainly shocked at the fact that Mendez's father who died from Melanoma when he was 14 was quoted in his speech after having published the claim. ",Prominent scientist falsifies data Claiming to have cured Cancer.,6,4,5,1,4,1,2,2,3,2,1,6,6,4,4,4,3,2,6,3,1,1,1,1,target does something bad,hypoformative|hypocat,16|2|15|8|1|4|12|13|11|3|6|10|14|9|5|7,18.53329468,73.86669922,-1
R_31WpKEs8pWQEt64,Default Response Set,Anonymous,,,70.124.74.231,0,9/9/2015 3:16,9/9/2015 3:20,1,1,1,A5BMKZRGHNSRT,23,2,1,1,,,,,3,2,8,1,1,1,4,,4,5,5,4,6,3,3,6,6,2,4,4,3,2,2,3,1,2,2,2,3,2,2,2,3,1,1,1,1,7,7,7,7,1,1,1,1,5,7,7,7,1,1,,,,,,,37.159,37.159,37.527,1,1,"A scientist lied and falsified data that could have saved many lives from the same cancer that claimed his father, and expressed no remorse about the lie.","Scientist Lies About Cancer Cure, Expresses No Remorse.",5,6,2,1,2,1,4,2,3,2,3,7,7,7,6,6,7,6,6,1,3,3,1,1,target does something bad,hypoformative|hypocat,14|2|4|8|13|3|9|10|15|11|12|6|7|16|5|1,26.02630615,-97.54029846,-1
R_2wuwAjHsL5d0GGU,Default Response Set,Anonymous,,,174.139.74.68,0,9/9/2015 3:13,9/9/2015 3:21,1,1,1,A258IQXX7F3Z8O,27,2,1,1,,,,,5,3,9,2,1,1,3,,6,5,5,8,6,2,8,2,6,1,7,1,7,2,2,2,1,3,2,1,1,2,1,1,3,2,1,1,7,7,6,6,2,1,2,1,1,6,6,7,7,1,1,,0,0,47.356,0,1,,,,,,The researcher found a way to cure melanoma cancer in 78% of patients after 2 years,Redemption found for Scientist that Lost Father to Melanoma Cancer,7,7,2nd,1,2,7,6,6,3,7,4,4,4,4,4,4,4,7,7,1,6,6,1,1,target does something good,hypocat|hypoformative,11|3|12|16|4|8|7|14|2|9|5|1|15|6|13|10,33.813797,-117.7985992,-1
R_3EYkl7RtQ1ATJnO,Default Response Set,Anonymous,,,131.252.200.9,0,9/9/2015 3:15,9/9/2015 3:23,1,1,1,A3DPMGBOA594UK,26,2,1,1,,1,,,3,3,5,2,2,2,3,,1,1,5,7,6,6,7,4,6,2,7,4,3,3,3,3,3,3,3,1,1,2,2,3,3,1,1,3,1,7,6,7,7,1,1,1,6,7,7,7,7,1,2,Communication major; previous intern at a magazine,,,,,,0,0,61.441,0,1,"A respected researcher falsely claimed to have found a cure for melanoma, a type of skin cancer. Colleagues found his fraudulent claims to be highly unethical and disturbing.",Researcher's Melanoma Cure Fraud Shakes the Medical Community,6,7,2,1,4,2,6,6,3,5,4,5,4,4,4,4,4,4,4,1,6,6,1,1,target does something bad,hypoformative|hypocat,8|15|7|16|5|14|9|1|11|2|13|4|10|12|3|6,45.52340698,-122.6762009,-1
R_eu2JAJOM7WNrV6N,Default Response Set,Anonymous,,,46.23.66.110,0,9/9/2015 3:10,9/9/2015 3:25,1,1,1,A35XHML3ZG2HFA,24,1,1,1,,,,,4,3,8,2,3,3,3,,2,3,5,6,6,6,7,6,4,6,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,4,5,6,4,5,6,5,4,6,6,3,6,1,1,,88.659,88.659,147.065,1,1,,,,,,there is a cure for melanoma ,there is a cure for melanoma ,5,5,99,1,4,4,4,5,3,5,5,5,5,5,5,5,5,5,6,5,4,4,1,1,target does something good,hypoformative|hypocat,4|14|9|12|11|10|15|13|2|6|8|3|16|5|1|7,51.5,-0.130004883,-1
R_26bhMwZbRcqkyez,Default Response Set,Anonymous,,,73.50.194.86,0,9/9/2015 3:31,9/9/2015 3:40,1,1,1,AIT8D5TOJ5IC2,25,2,1,,,1,,,1,1,5,2,3,1,3,,1,4,5,3,6,8,3,6,3,6,6,3,2,3,3,2,2,1,3,3,1,2,3,1,3,1,1,1,1,5,7,7,4,3,1,1,2,7,6,7,6,1,1,,18.109,24.893,38.534,10,1,,,,,,Dr. Mendez may have found a way to treat melonoma. The cure includes injecting a cold virus into the person with the cancer. His father died of melonoma which caused him to want to work on it.,We May Have A Cure to Melonoma Right Around the Corner,6,6,1st,1,3,5,5,6,3,6,4,3,2,4,1,4,4,6,6,1,7,7,1,1,target does something good,hypoformative|hypocat,16|5|8|1|6|9|14|7|12|13|15|3|2|4|11|10,41.84390259,-86.21640015,-1
R_9HRk7SfrFpJf3WN,Default Response Set,Anonymous,,,167.187.101.222,0,9/9/2015 3:35,9/9/2015 3:43,1,1,1,A1Q4WXUOEKHM5O,29,2,1,1,,,,,2,3,5,1,1,1,3,,3,4,5,2,3,2,7,7,7,2,3,6,7,2,2,3,2,2,3,1,1,3,3,2,2,2,2,2,2,7,6,5,6,2,2,2,2,6,6,6,7,1,1,,5.425,11.673,33.813,5,1,,,,,,"A dr recently discovered what seems to be a cure for melanoma, a type of skin cancer; this treatment would save tens of thousands of lives per year. It involves injecting a mutated cold virus into the skin lesions that melanoma causes and eliminated the melanoma in 78% of participants in a clinical trial. ",Recent breakthrough in melanoma treatment: injecting cold virus cures 78% of patients,4,5,4,1,3,5,5,7,3,6,4,4,4,4,4,4,4,4,4,3,5,5,1,1,target does something good,hypoformative|hypocat,3|2|9|14|1|10|11|4|13|8|15|7|6|12|5|16,34.09950256,-118.414299,-1
