V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q37,consent,mturk_id,demo_age,demo_gend,demo_citiz,demo_emplo_1,demo_emplo_2,demo_emplo_3,demo_emplo_4,demo_emplo_5,demo_income,demo_class,demo_educa_1,pol_party_1,pol_attitu_1,pol_attitu_2,ethnic_id,ethnic_id_TEXT,ethnic_id2,ethnic_id3,attn,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,SDO7_1,SDO7_2,SDO7_3,SDO7_4,SDO7_5,SDO7_6,SDO7_7,SDO7_8,SDO7_9,SDO7_10,SDO7_11,SDO7_12,SDO7_13,SDO7_14,SDO7_15,SDO7_16,LSI_1,LSI_2,LSI_3,LSI_4,LSI_5,LSI_6,LSI_7,LSI_8,LSI_9,LSI_10,LSI_11,LSI_12,Q63,j_training,j_training_TEXT,Q45,Q62,summary,headline,writing,include1,include2,include3,include4,include5,include6,Q35,status,rep1,rep3,rep2,ambitious,competent,attn2,hardwork,hypo_3,hypo_2,hypo_1,hypo_4,hypo_11,hypo_12,hypo_5,similar,attention_1,attention_2,attention_3,debrief,data_yn,mturkcode,DO-BR-FL_57,DO-BR-FL_127,DO-BR-FL_125,DO-BR-FL_129,DO-BR-FL_124,DO-Q-SDO7,LocationLatitude,LocationLongitude,LocationAccuracy
R_2TGWjEl3BNaY6fN,Default Response Set,Anonymous,,,172.77.100.219,0,5/25/2016 16:10,5/25/2016 16:25,1,1,1,A15WT42L93JL7S,53,2,1,,1,,,,4,2,6,7,7,6,3,,3,2,5,1,6,8,2,7,4,7,7,6,3,1,2,2,2,5,6,6,6,4,3,4,4,6,3,5,5,2,1,3,1,1,3,1,1,3,2,1,3,1,1,,,1,Two males were arrested for plotting a mass shooting at the univ of Tennessee campus in Knoxville. The two suspects appear to have known each other since highschool and were social loners and outcasts on campus. ,UT students planned mass shooting on campus,5,7,6,6,5,3,5,1,4,3,4,3,3,3,3,2,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_58,low status,hypoformative|hypocat,,,4|10|14|6|13|9|7|16|2|12|11|1|3|8|5|15,40.86839294,-82.31490326,-1
R_3MGTBkE79VutQyi,Default Response Set,Anonymous,,,216.164.56.88,0,5/25/2016 16:00,5/25/2016 16:27,1,1,1,A2RAC1CU8YLGPC,45,1,1,1,,,,,7,3,6,3,3,3,3,,4,4,5,6,1,1,6,6,6,3,6,6,6,1,1,1,1,7,7,1,1,7,1,1,1,7,7,7,7,2,2,2,2,1,2,1,1,2,1,1,1,1,1,,1,,two students stopped a shooter without an incident.,the heroes,5,5,5,5,5,5,5,1,5,5,3,5,3,4,3,4,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_109,,,high Status,hypoformative|hypocat,4|6|2|7|8|3|13|5|11|14|1|12|15|10|16|9,39.02609253,-77.00839996,-1
R_2CwEfyMsiWtlORA,Default Response Set,Anonymous,,,73.207.155.151,0,5/25/2016 16:18,5/25/2016 16:28,1,1,1,A1ZYNG3SBJPYKU,35,2,1,,1,,,,2,2,6,1,3,1,3,,2,2,5,3,3,6,3,6,6,3,3,3,3,1,1,2,1,6,6,6,2,2,1,2,2,6,6,6,6,3,2,3,2,2,3,2,1,2,1,1,3,1,1,,1,,Two kids were at school and heard gunshots. They were able to disarm the suspect and protect the rest of the students. Only three were hurt but are in stable condition.,Student heroes save the day,4,6,6,6,6,6,6,1,3,5,2,5,6,6,3,5,4,4,4,4,4,4,4,2,6,6,6,1,1,1,FL_58,high Status,hypoformative|hypocat,,,9|7|11|16|15|14|1|8|4|3|2|10|5|12|6|13,34.02470398,-84.50330353,-1
R_31pHiW3QsS8Quzo,Default Response Set,Anonymous,,,72.24.4.6,0,5/25/2016 16:13,5/25/2016 16:28,1,1,1,A3IJLK1VL7QGIK,33,2,1,1,,,,,3,3,5,5,4,4,3,,3,3,5,8,6,2,7,1,7,1,7,6,6,1,2,2,1,5,5,5,5,2,2,2,2,5,5,5,5,2,2,3,2,2,3,2,1,2,2,1,2,1,1,,1,,"Two male college students intervened when a subject began shooting in the halls of a university in Tennessee. The two students wrestled the shooter to the ground and subdued him until police arrived. Three students were shot, but are recovering. The name of the shooter has not been released at this time.",Not another mass shooting,4,4,4,6,4,4,4,1,4,5,4,5,5,5,3,5,4,4,4,4,4,4,4,2,5,4,7,1,1,1,FL_58,high Status,hypoformative|hypocat,,,13|10|7|16|5|1|8|6|2|14|9|4|12|15|3|11,33.27340698,-109.2711029,-1
R_1INm3Da3NTIT3gR,Default Response Set,Anonymous,,,65.31.192.164,0,5/25/2016 16:17,5/25/2016 16:29,1,1,1,A27FJX4YQFN6X,25,2,1,1,,,,,3,3,9,3,3,3,3,,4,4,5,2,2,7,6,7,8,6,7,2,4,2,2,3,2,6,6,6,4,2,1,2,2,6,6,6,6,3,2,3,2,1,3,2,1,3,2,2,3,1,1,,1,,Two students at the University of Tennessee were able to prevent a deadly school shooting by stopping the assailant. Three other students were injured by the shooter but are in stable condition,Students Prevent Deadly School Shooting at University of Tennessee,6,5,6,7,7,7,6,1,4,6,2,6,6,6,3,6,5,5,5,4,4,4,4,2,6,6,6,1,1,1,FL_109,,,high Status,hypocat|hypoformative,4|11|7|2|5|10|6|15|9|8|13|14|12|16|1|3,39.02949524,-94.62830353,-1
R_1ou6x8SZjHCXHzV,Default Response Set,Anonymous,,,174.74.15.252,0,5/25/2016 16:21,5/25/2016 16:29,1,1,1,A1KRO0JWU6LT0I,33,2,1,1,,,,,3,3,6,3,4,3,3,,5,5,5,1,2,2,4,7,3,4,7,2,7,2,3,3,2,4,5,5,3,2,2,2,2,5,5,4,5,3,2,3,2,1,2,2,1,1,1,1,2,1,1,,,1,2 male loner college students were arrested before they were able to carry out their planned mass shooting at their university.,College shooting thwarted,6,6,5,4,5,5,4,1,4,3,5,1,2,3,3,2,4,4,4,4,4,4,4,2,6,6,6,1,1,1,FL_58,low status,hypoformative|hypocat,,,6|11|15|16|10|12|9|4|13|8|3|2|1|5|7|14,41.20849609,-96.19390106,-1
R_1gHGqLr38lgjsRg,Default Response Set,Anonymous,,,184.6.4.239,0,5/25/2016 16:11,5/25/2016 16:30,1,1,1,AS53TLW26LCK0,67,2,1,1,,,,,3,2,5,5,5,5,3,,4,4,5,2,1,6,6,7,8,2,8,1,4,2,4,5,2,7,7,7,5,5,6,6,4,6,4,7,3,2,3,3,3,3,3,2,1,3,2,2,3,1,1,,,1,Two students at a Tennessee college were arrested for planning a shooting spree at the college.  The two were friends and felt like outcasts from the rest of the students at their school.  One of the students roommates heard a late night phone call from his roommate to someone else discussing their plans for the shooting.  The roommate called the police and they raided his room and found many guns and ammunition.  Both boys were from Tennessee.,Observant Roommate Saves College From Shooting Spree,6,6,6,7,7,7,4,1,2,1,6,1,2,2,3,1,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_58,low status,hypocat|hypoformative,,,5|2|6|4|16|3|10|11|7|13|14|12|8|1|9|15,37.60099792,-78.61270142,-1
R_aVHI6yJ9NNQhNxT,Default Response Set,Anonymous,,,24.185.3.246,0,5/25/2016 15:52,5/25/2016 16:31,1,1,1,AQOBI8N4KNFUO,23,2,1,,1,1,,,5,3,8,3,6,2,3,,1,2,5,2,2,2,6,7,7,3,7,6,7,1,5,6,3,4,6,7,3,1,1,2,5,7,7,7,7,2,3,3,2,2,3,1,2,3,2,1,3,1,1,,1,,Two unarmed students from the University of Tennessee tackled and contained a shooter on campus.,Unarmed Students Take Down Shooter at University of Tennessee,5,7,6,7,6,6,7,1,5,7,1,7,7,7,3,6,3,4,3,2,3,4,3,2,7,7,7,1,1,1,FL_109,,,high Status,hypoformative|hypocat,12|1|8|6|16|7|3|9|11|13|14|5|2|15|4|10,40.43600464,-74.48500061,-1
R_3PzAxvrA7kVamkn,Default Response Set,Anonymous,,,72.64.163.199,0,5/25/2016 16:13,5/25/2016 16:32,1,1,1,A20CVDF94PI1DE,35,2,2,,,,,1,1,1,6,2,3,3,2,,7,6,5,6,1,1,6,7,7,1,6,1,7,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,2,3,3,3,2,3,2,1,1,2,1,1,1,1,,1,,"The heroic and selfless action of two unarmed students was effective in taking down an armed gunman. Although, the gunman managed to shoot three students, they are stable condition. The actions of these two brave souls may have saved countless more lives.",Selflessness and bravery saves countles lives of students!,6,6,7,7,7,7,7,1,2,7,1,7,7,7,3,7,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_58,high Status,hypoformative|hypocat,,,5|9|12|15|2|7|4|1|11|13|3|14|10|8|16|6,28.03739929,-82.39019775,-1
R_A07seThu9eumS7n,Default Response Set,Anonymous,,,104.129.204.84,0,5/25/2016 16:26,5/25/2016 16:33,1,1,1,AZMY7LX7YGKAG,31,2,1,1,,,,,6,3,9,6,6,6,3,,7,7,5,7,2,2,7,6,6,6,7,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,1,1,,1,,"A gunman started shooting at a Tennessee college.  Two students, whom were returning from breakfast, took action when they realized what was happening.",Students Turned Heros as Gunman Advanced on University,5,5,7,7,7,7,7,1,6,6,2,6,6,6,3,6,6,6,6,6,6,6,6,2,7,7,7,1,1,1,FL_109,,,high Status,hypoformative|hypocat,15|7|6|1|8|14|2|13|16|10|9|3|4|12|11|5,33.7480011,-84.38580322,-1
R_3jew88F7ErmrPUT,Default Response Set,Anonymous,,,67.5.222.65,0,5/25/2016 16:03,5/25/2016 16:33,1,1,1,A3D57GFB7PFYR9,42,1,1,1,,,,,3,2,5,1,2,2,1,,7,7,5,7,7,7,7,3,8,3,7,3,6,2,3,3,5,7,6,2,6,2,1,1,1,7,6,7,7,3,3,3,2,2,3,2,3,2,2,3,3,1,1,,1,,A shooting occurred in the hallways of the University of Tennessee by a lone shooter. Two students noticed and decided to take actions in their own hands to avoid multiple casualties. They were able to tackle shooter from behind disarm and hold him down until the police arrived. Only 3 students were shot and are in stable condition. ,Two brave Student Heroes.,5,6,7,6,6,7,7,1,7,7,6,6,6,6,3,6,6,6,6,4,2,4,2,2,7,7,7,1,1,1,FL_58,high Status,hypocat|hypoformative,,,7|2|4|14|9|13|16|5|8|10|12|6|11|3|15|1,45.54789734,-122.5014954,-1
R_3LdKc5u6J3E0OWn,Default Response Set,Anonymous,,,75.117.161.69,0,5/25/2016 16:14,5/25/2016 16:33,1,1,1,A1GGAHFTOI03Z2,33,2,1,,,,,1,1,1,5,4,6,5,3,,4,1,5,8,6,3,8,3,7,1,7,1,8,4,2,4,5,7,6,1,4,2,4,1,1,7,7,7,6,3,3,3,3,3,2,3,1,2,2,1,3,1,1,,1,,"A group of friends happened to be at the wrong time. They felt the need to capture the individual who was the shooter. While attempting to do so, so succeeded and contained the shooter until the police arrived. In doing so, these individuals should be considered heroes, because they stopped the individual from harming any more people.",Two boys become heroes in a school shooting.,6,7,7,7,7,7,7,1,7,7,1,7,7,7,3,7,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_109,,,high Status,hypoformative|hypocat,16|9|10|6|3|14|13|5|8|2|11|7|4|1|15|12,37.13279724,-84.0963974,-1
R_1HhRjwAx6A2zkXF,Default Response Set,Anonymous,,,75.185.202.147,0,5/25/2016 16:22,5/25/2016 16:33,1,1,1,A25FIHL4MV1R8K,33,2,1,1,,,,,6,3,8,5,5,5,3,,6,1,5,7,7,6,6,6,6,1,8,1,6,3,2,3,4,4,6,6,2,2,4,3,5,6,6,6,5,1,3,3,3,2,3,1,2,2,1,1,2,1,1,,,1,Two students at University of Tennessee were arrested on attempting to shoot multiple classmates. They had been planning to shoot students and were overheard by one Davids roommate. The roommate was concerned and contacted police about a possible shooting at the campus. Both suspected students were loner and were bullied by many other students.,College loners arrested for plotting mass killing spree at University of Tennessee,5,6,6,7,7,7,7,1,1,1,7,1,1,4,3,1,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_109,,,low status,hypocat|hypoformative,11|4|1|16|10|12|5|13|6|7|15|3|2|14|9|8,39.94020081,-84.17269897,-1
R_1LIJpkfbhF0zru3,Default Response Set,Anonymous,,,71.214.113.19,0,5/25/2016 16:14,5/25/2016 16:34,1,1,1,A39D3PNCWDS5K6,25,1,1,,1,,,,2,2,4,5,5,5,7,White/Hispanic,4,4,5,8,2,2,8,1,6,1,8,1,7,1,6,6,1,7,7,1,1,6,6,5,6,1,2,6,2,3,3,2,1,3,1,3,3,2,3,2,3,1,1,,1,,"2 Students help knockout gunman, Saving the school. one the hero students was his father was a immigrant from egypt and the other one was in the wrestling team together. ","Hero Students, Help Save School From Attack Gunman. ",7,7,7,7,7,7,7,1,7,3,1,7,7,7,3,7,4,4,4,5,5,4,5,2,7,7,7,1,1,1,FL_109,,,high Status,hypocat|hypoformative,11|16|4|15|3|10|12|9|2|5|1|14|13|8|7|6,45.44070435,-122.6156998,-1
R_1eFDJv3yVVcKdJs,Default Response Set,Anonymous,,,75.165.50.196,0,5/25/2016 16:22,5/25/2016 16:34,1,1,1,A2QMX694YFORRG,23,2,1,1,,1,,,3,2,5,1,2,2,7,black and white,7,7,5,8,1,7,6,3,8,1,8,1,7,1,1,1,6,7,7,7,1,1,1,1,1,7,7,7,7,2,3,3,2,1,3,3,3,3,3,3,3,1,1,,1,,2 students worked together to take down an armed person who opened fire in their school building.,Heroic students take down armed  suspect in school shooting,7,7,7,7,7,7,7,1,5,7,1,7,7,7,3,7,4,4,4,4,4,4,1,2,7,7,7,1,1,1,FL_109,,,high Status,hypocat|hypoformative,12|8|10|9|15|5|14|7|2|3|4|13|11|6|1|16,47.57600403,-122.3995056,-1
R_3ReX1zPcom1HheU,Default Response Set,Anonymous,,,73.65.19.244,0,5/25/2016 16:19,5/25/2016 16:36,1,1,1,A1UY2W2FL9CWN,31,1,1,1,,,,,6,3,6,4,1,1,3,,3,2,5,3,1,2,6,4,8,3,6,3,7,1,1,1,1,7,7,7,7,1,1,7,1,7,7,7,7,2,3,3,2,2,2,1,2,2,3,1,2,1,1,,,1,Two students at the University of Tennessee had a plot uncovered in which they had planned a mass shooting event at the University.  One was a loner and the other was his only friend from high school. ,Two UT Students Arrested in Mass Shooting Plot.,6,7,7,6,5,3,4,1,3,1,6,3,6,5,3,4,4,4,4,3,3,2,2,2,7,7,7,1,1,1,FL_58,low status,hypocat|hypoformative,,,14|15|5|2|12|13|16|9|8|4|6|3|10|7|1|11,44.99279785,-92.89880371,-1
R_dhuhNPIKJL1BM5j,Default Response Set,Anonymous,,,173.21.132.28,0,5/25/2016 16:28,5/25/2016 16:37,1,1,1,A2R915BFIW5TRI,34,1,1,1,,,,,3,1,5,2,1,2,3,,1,1,5,6,2,6,6,3,7,1,3,7,6,1,1,1,2,5,6,6,4,1,2,2,2,7,7,7,6,2,3,3,2,1,3,1,3,3,1,1,3,1,2,I wrote for the student newspaper at the University of Iowa. Minored in English. Have done freelance assignments for various newspapers and magazines. Not my full time profession however.,1,,"Two students were able to thwart a school shooting with an incredible act of bravery. Using only martial arts and wrestling training, the two disarmed the gunman and potentially saved many lives.",Brazen Student Halts School Shooting,6,7,7,7,4,1,2,1,4,6,1,7,6,6,3,5,5,5,4,4,5,4,4,2,7,7,7,1,1,1,FL_58,high Status,hypoformative|hypocat,,,3|4|8|12|10|15|11|16|9|2|6|14|5|7|13|1,41.60139465,-93.68289948,-1
R_QnULe3MjdSHGJhv,Default Response Set,Anonymous,,,206.211.104.1,0,5/25/2016 16:11,5/25/2016 16:37,1,1,1,A2QR6ULXKSZONK,27,1,1,1,,,,,3,2,5,2,2,2,3,,2,4,5,6,6,6,7,4,6,2,7,3,6,1,1,1,1,7,7,7,7,7,1,2,2,7,7,7,7,3,3,2,2,1,2,2,1,2,3,3,2,1,1,,1,,"Two students, Zack Yusef and Dave Milner, were able to subdue a gunman on the campus of the University of Tennessee. The two took cover as they heard the first of the shots ring out. They soon chose to attack the would be murderer, and luckily, they were able to hold him down until help arrived. ",Ambiguously Brave Duo Defend UT ,5,6,7,6,6,6,6,1,4,5,3,5,5,5,3,6,4,4,4,4,4,4,4,2,6,6,6,1,1,1,FL_109,,,high Status,hypoformative|hypocat,14|11|12|1|7|13|4|6|2|16|3|10|5|15|8|9,37.50230408,-77.56929779,-1
R_3GrZOk6FwAAp05W,Default Response Set,Anonymous,,,100.13.5.142,0,5/25/2016 16:19,5/25/2016 16:37,1,1,1,A2DA849F6IV3EO,43,2,1,,,,,1,4,3,9,4,4,4,3,,7,7,5,3,3,3,4,6,6,4,7,1,7,3,3,3,2,5,6,5,3,3,2,3,3,6,6,6,5,3,3,3,3,3,3,1,1,3,1,1,3,1,1,,,1,"Two students of the University of Tennessee, Zack Yusef and Dave Milner, were arrested for plotting a mass shooting on the university campus.",Mass shooting prevented,5,5,5,4,4,4,4,1,4,3,5,3,3,3,3,3,4,4,4,4,4,4,4,2,7,7,7,1,1,1,FL_109,,,low status,hypocat|hypoformative,6|10|16|7|14|13|12|1|15|9|4|3|11|5|2|8,28.0821991,-82.52390289,-1
R_30nPPEAavEanlUy,Default Response Set,Anonymous,,,73.197.156.172,0,5/25/2016 16:26,5/25/2016 16:37,1,1,1,A2WQT33K6LD9Z5,27,1,1,,1,,,,6,3,4,4,4,4,3,,1,5,5,1,1,1,6,6,7,1,8,1,7,6,6,1,1,6,4,7,4,1,1,1,1,7,7,7,7,1,2,3,3,3,3,3,1,1,3,3,3,1,1,,1,,A shooter entered a school and ended up schooting a few students. A high school wrestler and trainee in Egyptian martial arts ended up tackling the attacker from behind and his friends helped him in disarming the assailant. The students ended up in stable condition. ,Nashville Tennessee High School wrestler hailed a hero after stopping gunman ,7,7,7,7,7,7,7,1,7,7,1,7,7,7,3,6,8,1,1,1,1,1,1,2,7,7,7,1,1,1,FL_58,high Status,hypocat|hypoformative,,,1|6|5|15|2|8|10|12|3|13|9|14|11|4|16|7,39.63630676,-74.76329803,-1
R_3Jr5fnesIdVpi7W,Default Response Set,Anonymous,,,206.121.37.170,0,5/25/2016 16:28,5/25/2016 16:38,1,1,1,A28S6TTII9JDNI,36,1,1,1,,,,,5,3,5,3,2,2,3,,4,4,5,4,1,2,7,6,7,4,7,1,6,2,2,2,2,6,6,6,6,2,2,2,2,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,1,1,,,1,Two students at university were arrested for plotting a mass shooting.  One student was thought to have planned and spearheaded the plot and they had obtained guns legally for their plan.,Students prevented from executing mass shooting,4,4,4,4,4,3,4,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,5,5,5,1,1,1,FL_109,,,low status,hypocat|hypoformative,7|2|4|3|5|11|10|12|6|1|13|8|15|9|16|14,42.4644928,-83.376297,-1
R_STZngL0jzQDTWRr,Default Response Set,Anonymous,,,40.136.238.94,0,5/25/2016 16:13,5/25/2016 16:38,1,1,1,A2NGJ3SHUQUZ2M,24,2,1,,,,,1,2,1,4,1,4,4,3,,1,4,5,6,4,6,3,7,7,1,6,3,6,1,1,1,4,7,7,7,6,1,1,1,1,7,7,7,7,2,3,2,3,1,3,3,2,1,2,2,2,1,1,,,1,2 boys were friends with each other they had a terroristic plan to shoot up a school and another person heard one of the boys talking over the phone to the other one discussing their plans and called police.,terrorism in schools,5,5,5,4,1,2,2,1,1,1,7,1,1,1,3,2,6,7,7,6,6,7,7,2,7,6,7,1,1,1,FL_58,low status,hypoformative|hypocat,,,7|6|5|4|1|10|14|12|2|16|8|3|15|9|11|13,37.36459351,-85.37580109,-1
R_1gI2cdJv36gTrGJ,Default Response Set,Anonymous,,,74.140.203.144,0,5/25/2016 16:27,5/25/2016 16:38,1,1,1,A1J2UPSXEXEZ5J,23,2,1,1,,,,,3,2,5,1,1,3,3,,1,1,5,7,3,4,6,7,7,1,4,2,3,1,1,1,1,7,7,1,2,1,4,1,1,7,4,7,7,2,3,3,2,3,2,1,2,1,3,3,2,1,1,,1,,There was an attacker at the Tennessee school. 2 people came up with a plan to detain the attacker and succeeded. ,Friendship defeats attacker of Tennessee,4,4,5,4,4,4,5,1,5,5,6,7,5,6,3,5,5,5,5,4,5,4,5,2,6,6,6,1,1,1,FL_58,high Status,hypoformative|hypocat,,,7|9|2|14|1|11|6|16|4|12|5|8|3|15|13|10,39.82699585,-84.01869965,-1
R_1LhUBZO51Q4ymmT,Default Response Set,Anonymous,,,173.68.107.218,0,5/25/2016 16:32,5/25/2016 16:40,1,1,1,A2LW1BUGTPU7RX,34,1,1,1,,,,,3,2,4,7,7,7,3,,5,4,5,8,4,7,3,4,3,2,6,7,6,6,2,6,4,4,6,5,5,3,5,4,6,7,6,5,6,1,1,2,1,2,2,1,1,1,2,1,2,1,1,,1,,Basically these two students named Zack and Dave rushed over and took out a shooter by wrestling him to the ground at the University Of Tennessee. ,Two Young Men Avert A Disaster Shooting,7,7,7,7,7,7,7,1,4,5,2,5,6,7,3,7,5,5,5,4,3,5,3,2,7,7,7,1,1,1,FL_58,high Status,hypoformative|hypocat,,,3|11|8|6|7|12|2|13|4|9|10|1|16|15|14|5,40.86849976,-73.83940125,-1
R_yIOmrhKXnfGUdVf,Default Response Set,Anonymous,,,209.112.173.204,0,5/25/2016 16:28,5/25/2016 16:40,1,1,1,A38SE9AOGJ9VKS,24,1,1,,,,,1,4,3,6,3,3,3,2,,5,5,5,6,6,3,7,4,7,4,7,2,6,4,5,4,4,6,4,5,4,3,4,2,4,6,6,6,5,2,3,3,3,3,2,2,3,3,2,1,2,1,1,,1,,"Two students were able to stop a potentially dangerous shooting before it got big at the University of Tennessee. The gunman came into the school and shoot a couple rounds, before the two students took action. They are able to apprehend him until the cops got there. With their courage, the shooting was limited to three injured with stable conditions.  ",Courageous Students stop a potentially dangerous shooing.,5,5,6,6,3,4,5,1,4,5,2,6,5,5,3,6,3,3,3,4,4,3,2,2,6,6,6,1,1,1,FL_109,,,high Status,hypoformative|hypocat,6|11|13|10|2|5|15|8|12|7|14|3|16|1|4|9,61.18859863,-149.8878021,-1
R_2f3tbuyqDCOfpXT,Default Response Set,Anonymous,,,73.176.145.236,0,5/25/2016 15:42,5/25/2016 16:40,1,1,1, A1H6WMGAFN4LNM,23,2,1,,,1,,,6,3,6,2,4,1,1,,7,7,5,7,1,1,8,4,8,1,8,1,8,1,1,7,5,7,7,7,7,1,1,1,1,7,7,7,7,2,3,3,3,1,3,2,1,3,3,2,3,1,1,,1,,"Two  friends from Tennessee State University were able to disarm a shooter. Yusef, a student at TSU, was able to disarm the shooter because of his formal training in Tahitb, an Egyptian martial art. His friend David was the brains behind this student lead operation. Although, the shooter did shot three students, they were able to stop him from shooting others. These students are said to be in stable condition.  /  / ",The Power of Friendship:Two Friends Disarm Shooter and Save Classmates at Tennessee State University,6,7,7,7,4,4,7,1,4,4,1,7,7,7,3,7,4,4,4,4,1,4,4,2,7,7,7,1,1,1,FL_58,high Status,hypocat|hypoformative,,,5|11|9|2|16|12|10|8|14|15|3|1|13|6|4|7,41.55050659,-87.50260162,-1
R_2P7nvc2VUpC7c0U,Default Response Set,Anonymous,,,96.33.121.194,0,5/25/2016 16:26,5/25/2016 16:40,1,1,1,A2MG1EEVEP1GGV,37,2,1,1,,,,,7,4,6,5,5,4,3,,6,4,5,6,4,3,6,6,7,2,6,7,4,2,5,4,5,5,7,6,5,5,3,2,5,5,6,6,3,1,3,3,3,2,3,2,1,2,3,1,3,1,2,"The University of Memphis, 1997-2001, undergrad in Jour",,1,"Two students, labeled as outcasts, were thwarted in their plans to undertake a mass shooting at the University of Tennessee, Knoxville, when the police and FBI were tipped off by a roommate.",UTK Mass Shooting Plans Thwarted,4,7,7,7,6,4,6,1,2,1,6,1,3,5,3,4,3,3,3,3,1,1,2,2,6,6,6,1,1,1,FL_58,low status,hypoformative|hypocat,,,12|9|6|14|16|3|15|1|8|4|13|2|7|11|5|10,36.16589355,-86.78440094,-1
R_TdpUki2YvNmoY4F,Default Response Set,Anonymous,,,72.179.45.68,0,5/25/2016 16:25,5/25/2016 16:41,1,1,1,A2TB1NQY3J8HXT,54,1,1,1,,,,,3,3,6,4,4,4,3,,4,2,5,6,6,1,7,6,8,1,8,1,8,1,1,1,1,7,7,7,7,6,7,6,7,6,2,7,2,2,3,2,2,2,1,2,1,1,2,1,3,1,1,,1,,"Two unarmed students thwarted an unidentified shooter on the University of Tennessee campus. Three students were shot, but all are in stable condition.",Unarmed Students Subdue Campus Shooter,4,4,7,6,6,6,6,1,4,7,1,7,6,7,3,6,4,4,4,4,4,4,4,1,7,7,7,1,1,1,FL_109,,,high Status,hypoformative|hypocat,11|4|16|2|9|3|12|15|5|13|10|8|14|1|6|7,29.87289429,-98.01399994,-1
R_1pRt9btj0vtYyKf,Default Response Set,Anonymous,,,97.32.64.235,0,5/25/2016 16:31,5/25/2016 16:42,1,1,1,A3A45JLSQM0P1E,33,1,1,1,,,,,3,2,5,7,7,7,3,,6,7,5,6,2,1,6,2,7,1,8,1,8,1,1,3,2,7,6,6,5,2,1,2,2,6,6,6,6,2,1,2,1,2,1,1,3,3,1,1,3,1,1,,1,,2 college men along with a 3rd who wishes to remain nameless were attacked on campus.  One was a wrestler who insisted on solving the problem.  The attacker was eventually reprimanded to the proper authorities.,The trials and tribulations of modern day students.,5,7,7,7,6,5,7,1,3,4,6,1,4,4,3,4,5,3,3,1,3,3,6,2,6,5,7,1,1,1,FL_58,high Status,hypocat|hypoformative,,,9|7|14|11|6|3|10|2|13|12|1|5|16|4|8|15,37.75100708,-97.8219986,-1
R_1OwCcu87vqDnguM,Default Response Set,Anonymous,,,173.30.230.139,0,5/25/2016 16:24,5/25/2016 16:43,1,1,1,AMIYUC9D85YSC,65,2,1,,,,,1,4,3,6,4,5,5,3,,4,5,5,3,1,2,7,6,7,2,7,3,7,1,1,1,1,6,6,6,7,4,7,6,6,6,6,4,5,2,2,3,2,1,2,1,2,2,1,1,3,1,1,,,1,Two University of Tennessee students were arrested for plotting a mass shooting at the school. The plot was discovered when one of the student's roommates overheard details of the plot. A cache of weapons obtained legally was found in one of the student's rooms.,University of Tennessee Mass Shooting Plot Disrupted ,4,7,7,7,7,2,4,1,2,2,5,1,4,1,3,2,4,4,4,4,2,4,4,2,5,5,7,1,1,1,FL_58,low status,hypocat|hypoformative,,,2|3|10|11|14|9|15|16|4|8|5|6|7|1|12|13,40.66619873,-91.34919739,-1
R_22tsBYkkc2IftLH,Default Response Set,Anonymous,,,67.86.210.147,0,5/25/2016 16:31,5/25/2016 16:44,1,1,1,AUREFQ6XFS87J,22,2,1,,1,1,,,1,2,6,5,4,4,3,,6,6,5,8,6,6,7,7,8,4,8,2,4,4,5,6,6,5,2,2,3,3,4,4,4,6,6,5,4,2,3,3,3,3,3,2,1,2,2,2,3,1,1,,1,,Two college students apprehended a shooter at the University of Tennessee. Before the students stopped the shooter three other students were shot but are in stable condition.,Student Heroes Showing Bravery when it was Needed Most,5,6,7,7,6,6,7,1,5,5,1,7,7,7,3,7,4,4,4,4,4,4,4,2,7,6,7,1,1,1,FL_109,,,high Status,hypoformative|hypocat,4|10|13|14|2|1|12|6|16|8|3|7|5|11|9|15,40.79319763,-73.54239655,-1
